PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
k70897654,70897654,gurgaon,70000.0,26.0,2660.0,10.0,3 bhk flat in sector 81 gurgaon,"situated in sector 81 gurgaon gurgaon, bestech park view grand spa is a well planned, ready to move society that offers a pleasant living experience to its residents. this is a 3 bhk apartment now available for rent. property has attached 3 bathrooms & more than 3 balconies with 3 rooms set in 2660 sq.ft. carpet area. this property is constructed on 2660 sq.ft. extra space for pooja room, study room, servant room and others. you also get 2 covered parking inside the premises located on 7th of 29 floor. this is a ready to move property and it is 1-5 years old flat. this is a furnished flat. already installed 5 ac, 1 chimney, 6 curtains, 1 dining table, 1 exhaust fan, 6 fan, 4 geyser, 10 light, 1 microwave, 1 modular kitchen, 1 fridge, 1 sofa, 1 stove, 1 study table, 3 tv, 4 wardrobe, 1 washing machine and 1 water purifier. the flat will be available from sat, 19 aug 2023 for families, single men and single women on any agreement type with a notice of 1 month for a duration of 11 months. expected rent for this property is 70,000 monthly. electricity & water charges to be paid by tenant on monthly basis to authorities. a one-time payment of 70000 is required by the owner as a security deposit.",residential apartment,Furnished,North-East,1-5 Year Old Property,high rise,3.0,bestech park view grand spa,4.0,mid rise,28.3866865,76.9484624,3.0,sector 81 gurgaon,bestech park view grand spa,bestech park view grand spa,,1.0,2.0,2.0,1.0,1.0,3.0,55,15
h70288702,70288702,gurgaon,70000.0,29.0,2411.0,11.0,3 bhk flat in sector 67 gurgaon,"ireo victory valley is the most preferred destination for renting flats in sector 67 gurgaon. a 3 bhk flat is now available for rent here. don't miss to be a part of this community. property has attached 3 bathrooms & more than 3 balconies with 3 rooms . the flat is built on 2411 sq.ft. area. this property has servant room as well. ease of access to 2 covered parking within society. this flat is situated at 12th in a tower with 51 floors. this is a 1-5 years old society. semi-furnished flat with 15 light, 6 fan, 5 ac, 4 wardrobe, 4 geyser, 1 stove, 1 modular kitchen, 1 chimney, 1 curtains and 1 exhaust fan. ready to occupy from mon, 17 jul 2023, this property is ideal for family on any agreement type with a notice of 1 month for a duration of 11 months. with all the highlighted features, we are asking for 70,000 monthly. refundable security deposit is 140000. built in features are power back-up, reserved parking, intercom facility, water storage, security / fire alarm, feng shui / vaastu compliant, high ceiling height, false ceiling lighting, piped-gas, internet/wi-fi connectivity, centrally air conditioned, recently renovated, natural light, airy rooms and spacious interiors etc. you will get access to swimming pool, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking and water softening plant etc. in this society. additional features with this property include separate entry for servant room, waste disposal, no open drainage around, rain water harvesting, low density society, corner property, pet friendly, wheelchair friendly and in a gated society. power backup: full. the flat has a north orientation. the flat's flooring is marble. in terms of usp of this house, you will get 9.  additional details :  piped gas facility is available in the property. the apartment has borings water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. there is also a separate washroom for domestic help. the society has dedicated security guards for every tower.",residential apartment,Semifurnished,West,1-5 Year Old Property,high rise,3.0,ireo victory valley,4.0,high rise,28.391640123846,77.065127854166,3.0,sector 67 gurgaon,ireo victory valley,ireo victory valley,higher floor,1.0,2.0,3.0,2.0,1.0,2.0,124,63
q70724530,70724530,gurgaon,70000.0,46.0,1519.0,9.0,3 bhk flat in dlf phase 2,"dlf oakwood estate is the most preferred destination for renting flats in dlf phase 2, gurgaon. a 3 bhk flat is now available for rent here. don't miss to be a part of this community. property has 3 bathrooms & 1 balcony attached. flat is constructed on 1519 sq.ft. you get an additional space of others. 1 covered parking available. placed on 8th of 14 floor in 5-10 years old tower. this is a furnished flat. already installed 3 bed, 1 stove, 8 fan, 3 geyser, 1 washing machine, 1 tv, 1 dining table, 1 microwave, 1 chimney, 1 curtains, 1 exhaust fan, 16 light, 1 fridge, 1 water purifier, 1 modular kitchen, 1 sofa and 5 wardrobe. ready to occupy from fri, 01 sep 2023, this property is ideal for family on any agreement type with a notice of 1 month for a duration of 11 months. the expected rent is  70,000 monthly and is negotiable. other charges to be paid includes  4500 monthly maintenance charges. book this by paying only  35000 amount. electricity & water charges are excluded. security deposit of  140000 is required.",residential apartment,Furnished,North-East,5-10 Year Old Property,high rise,3.0,dlf oakwood estate,1.0,mid rise,28.484342,77.088299,3.0,dlf phase 2,dlf oakwood estate,dlf oakwood estate,a-111,2.0,1.0,2.0,1.0,1.0,2.0,137,57
u70367576,70367576,gurgaon,70000.0,41.0,1701.0,9.0,4 bhk flat in dlf phase 2,"situated in dlf phase 2 gurgaon, dlf oakwood estate is a well planned, ready to move society that offers a pleasant living experience to its residents. this is a 4 bhk apartment now available for rent. property has attached 4 bathrooms & 2 balconies with 4 rooms set in 1658 sq.ft. carpet area. the flat consists of 4 bedrooms, built on 1701 sq.ft. society provides 1 covered parking with this flat & the option for 1 open parking is also available. the building has a total of 14 floors and this property is situated on 5th floor. property is 5-10 years old. semi-furnished flat with 2 ac, 1 curtains, 1 exhaust fan, 6 fan, 4 geyser, 5 light, 1 modular kitchen and 4 wardrobe. the flat will be available from fri, 21 jul 2023 for family on any agreement type with a notice of 1 month for a duration of 21 months. we are offering this property on  70,000 monthly. electricity & water charges are not included in rent & to be paid separately.  140000 is required to be paid as the initial payment.",residential apartment,Semifurnished,North-East,5-10 Year Old Property,high rise,4.0,dlf oakwood estate,2.0,mid rise,28.4889627,77.0866646,4.0,dlf phase 2,dlf oakwood estate,dlf oakwood estate,000,2.0,1.0,2.0,1.0,1.0,2.0,55,15
q70627118,70627118,gurgaon,70000.0,259.0,2430.0,13.0,4 bhk flat in sector 109 gurgaon,"a spacious 4 bhk flat for rent is available in sector 109 gurgaon in international city by sobha phase 1, gurgaon. this 4 bhk flat comes with 5 bathrooms set in 270 sq.yards carpet usable area. this property is constructed on 270 sq.yards. located on ground of 2 floor. this is a ready to move property and it is 5-10 years old flat. it is a semi-furnished property. inclusive of 16 light, 12 fan, 4 ac, 5 wardrobe, 3 geyser, 1 stove, 1 modular kitchen, 1 chimney, 1 curtains and 1 exhaust fan. the flat will be available from sat, 05 aug 2023 for families, single men and single women on any agreement type with a notice of 1 month for a duration of 11 months. we are demanding 70,000 for this unmatched property. rent quoted excludes electricity & water charges. refundable security deposit of 150000 to be paid for finalising the option. you will also get all modern property feature like piped-gas, power back-up, reserved parking, intercom facility, feng shui / vaastu compliant, water storage, security / fire alarm, high ceiling height, false ceiling lighting and internet/wi-fi connectivity. this place is equipped with quality features like swimming pool, club house / community center, fitness centre / gym, park, maintenance staff, visitor parking and water softening plant. additional things included here are rain water harvesting, waste disposal, no open drainage around, pet friendly, wheelchair friendly and in a gated society. power backup: full. the flat is north facing. the flat has marble flooring.",residential apartment,Semifurnished,North,5-10 Year Old Property,low rise,4.0,international city by sobha phase 1,4.0,low rise,28.513368,76.996723,4.0,sector 109 gurgaon,international city by sobha phase 1,international city by sobha phase 1,,3.0,2.0,3.0,2.0,1.0,2.0,86,41
t70896274,70896274,gurgaon,70000.0,36.0,1900.0,14.0,3 bhk flat in sector 66 gurgaon,"a spacious 3 bhk flat for rent is available in sector 66 gurgaon in emaar mgf the palm drive, gurgaon. this flat consists of 3 bathrooms & more than 3 balconies in 1900 sq.ft. carpet area. this property is constructed on 1900 sq.ft. extra space for servant room. you also get 1 covered parking inside the premises located on 9th of 17 floor. this is a ready to move property and it is 1-5 years old flat. this property is semi-furnished. equipped with 11 light, 5 fan, 4 ac, 3 wardrobe, 3 geyser, 1 modular kitchen, 1 chimney and 1 exhaust fan. the flat will be available from sun, 20 aug 2023 for family on any agreement type with a notice of 1 month for a duration of 11 months. we are demanding  70,000 for this unmatched property. tenants have to pay society charges additionally like maintenance charges of  9000 monthly directly.  25000 amount to be paid to book this flat. rent quoted excludes electricity & water charges. refundable security deposit of  140000 to be paid for finalising the option. built in features are piped-gas, power back-up, reserved parking, intercom facility, water storage, security / fire alarm, high ceiling height, airy rooms, natural light and spacious interiors etc. you will get access to swimming pool, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), visitor parking and water softening plant etc. in this society. additional features with this property include separate entry for servant room, low density society, bank attached property, no open drainage around, rain water harvesting, waste disposal and in a gated society. power backup: full. the flat has a north orientation. the flat's flooring is vitrified.",residential apartment,Semifurnished,North,1-5 Year Old Property,high rise,3.0,emaar mgf the palm drive,4.0,mid rise,28.401406,77.050549,3.0,sector 66 gurgaon,emaar mgf the palm drive,emaar mgf the palm drive,2200,3.0,2.0,4.0,2.0,1.0,2.0,116,67
h68356516,68356516,gurgaon,70000.0,41.0,1701.0,4.0,4 bhk flat in dlf phase 4,"this 4 bhk flat in dlf phase 4 is available in dlf ridgewood estate for rent, one of the most prominent projects for residential flats in gurgaon. property has 4 bathrooms & 2 balconies attached. the flat consists of 4 bedrooms, built on 1701 sq.ft. society provides 1 covered parking with this flat. the building has a total of 14 floors and this property is situated on 9th floor. property is 5-10 years old. this is a semi-furnished flat. furnishing options provided - 16 light, 7 fan, 4 wardrobe, 4 geyser, 1 modular kitchen and 1 exhaust fan. ready to occupy from wed, 05 apr 2023, this property is ideal for families, single men and single women on any agreement type with a notice of 1 month for a duration of 11 months. expected rent for this property is 70,000 monthly. electricity & water charges to be paid by tenant on monthly basis to authorities. a one-time payment of 140000 is required by the owner as a security deposit. this flat has all latest feature like internet/wi-fi connectivity, feng shui / vaastu compliant, power back-up, reserved parking, intercom facility, water storage, security / fire alarm, high ceiling height, false ceiling lighting and piped-gas. society provides modern lifestyle facilities like swimming pool, water softening plant, grocery shop, security personnel, maintenance staff, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s) and visitor parking. there are more things to like about this property such as rain water harvesting, separate entry for servant room, waste disposal, no open drainage around, corner property and in a gated society.",residential apartment,Semifurnished,not available,5-10 Year Old Property,high rise,4.0,dlf ridgewood estate,2.0,mid rise,28.464937,77.080879,4.0,dlf phase 4,dlf ridgewood estate,dlf ridgewood estate,,1.0,0.0,3.0,0.0,0.0,0.0,110,58
n69996778,69996778,gurgaon,70000.0,51.0,1370.0,4.0,3 bhk flat in dlf phase 4,"dlf ridgewood estate is one of gurgaon's most sought after destination for residential flats and this 3 bhk flat for rent in dlf phase 4, is your opportunity to be a part of this community. property has 3 bathrooms & 2 balconies attached. the flat consists of 3 bedrooms, built on 1370 sq.ft. a separate space for others is available in this flat. the building has a total of 14 floors and this property is situated on 8th floor. property is 5-10 years old. furnished flat with 14 light, 1 curtains, 1 chimney, 1 exhaust fan, 4 geyser, 1 dining table, 8 fan, 1 stove, 1 sofa, 6 wardrobe, 1 washing machine, 1 fridge, 1 modular kitchen, 1 microwave, 3 bed, 1 water purifier and 1 tv. the flat will be available from thu, 10 aug 2023 for single women and family on any agreement type with a notice of 1 month for a duration of 11 months. with all the highlighted features, we are asking for 75,000 monthly and is negotiable. refundable security deposit is 150000.",residential apartment,Furnished,North-East,5-10 Year Old Property,high rise,3.0,dlf ridgewood estate,2.0,mid rise,28.464937,77.080879,3.0,dlf phase 4,dlf ridgewood estate,dlf ridgewood estate,123,1.0,0.0,3.0,0.0,0.0,0.0,118,40
p70650802,70650802,gurgaon,70000.0,29.0,2410.0,8.0,4 bhk flat in sector 66 gurgaon,"explore this amicable emaar mgf palm terraces select of sector 66 gurgaon in gurgaon ! live in a 4 bhk flat for rent in sector 66 gurgaon. this flat consists of 5 bathrooms & more than 3 balconies. the flat consists of 4 bedrooms, built on 2410 sq.ft. a separate space for servant room is available in this flat. society provides 2 covered parking with this flat. the building has a total of 12 floors and this property is situated on 6th floor. property is 1-5 years old. semi-furnished flat with 15 light, 5 fan, 6 ac, 4 wardrobe, 4 geyser, 1 stove, 1 modular kitchen, 1 chimney, 1 curtains and 1 exhaust fan. the flat will be available from sun, 06 aug 2023 for family on any agreement type with a notice of 1 month for a duration of 11 months. we are offering this property on  70,000 monthly. the rent is exclusive of charges like  7000 monthly maintenance charges. electricity & water charges are not included in rent & to be paid separately.  140000 is required to be paid as the initial payment. you will also get all modern property feature like power back-up, reserved parking, water storage, security / fire alarm, feng shui / vaastu compliant, intercom facility, high ceiling height, false ceiling lighting, piped-gas, internet/wi-fi connectivity, centrally air conditioned, recently renovated, natural light, airy rooms and spacious interiors. this place is equipped with quality features like swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and shopping centre. additional things included here are separate entry for servant room, waste disposal, no open drainage around, rain water harvesting, low density society, corner property, pet friendly, wheelchair friendly and in a gated society. power backup: full. the flat is east facing. the flat has marble flooring. this property has a one-of-a-kind feature - 9.",residential apartment,Semifurnished,East,1-5 Year Old Property,high rise,4.0,emaar mgf palm terraces select,4.0,mid rise,28.4014659,77.0531172,4.0,sector 66 gurgaon,emaar mgf palm terraces select,emaar mgf palm terraces select,middle floor,2.0,0.0,1.0,2.0,1.0,2.0,124,63
q70740910,70740910,gurgaon,70000.0,46.0,1519.0,9.0,3 bhk flat in dlf phase 2,"available on rent in dlf oakwood estate.  3 bhk, luxury fully furnished with modular kitchen, lights, fans, geyser, cupboard, double bed with mattress, sofa set, dinning table, led tv, washing machine, exhaust fan, etc..  24 hours security guard, zym, club, swimming pool and badminton court.  walking distance from sikandarpur metro station, mg road, cyber city and udyog vihar. 100 meters all around the shopping complex.",residential apartment,Furnished,North-East,10+ Year Old Property,high rise,3.0,dlf oakwood estate,1.0,mid rise,28.4889627,77.0866646,3.0,dlf phase 2,dlf oakwood estate,dlf oakwood estate,,2.0,1.0,2.0,1.0,1.0,2.0,126,63
y66821280,66821280,gurgaon,70000.0,29.0,2383.0,15.0,4 bhk flat in sector 49 gurgaon,"4 bhk fully furnished apartment located in sector-49 gurgaon. it is a freehold property. the flat is a spacious property and is . located in an integrated society of boat club, it has 5 bathroom(s) and more than 6 balcony(s). it is located on 10th floor. the apartment is fo rent 1 covered parking.piped gas facility is available in the property. additional details : piped gas facility is available in the property. the apartment has borings water supply. daily needs shopping could be done within the society premises to make the stay convinent. full power backup is available. there is also a separate washroom for domestic help.",residential apartment,Furnished,North-East,5-10 Year Old Property,high rise,4.0,bestech park view city 2,4.0,mid rise,28.403301,77.045624,4.0,sector 49 gurgaon,bestech park view city 2,bestech park view city 2,,2.0,2.0,3.0,2.0,1.0,5.0,82,56
z69084384,69084384,gurgaon,70000.0,16.0,4200.0,14.0,4 bhk flat in sector 81 gurgaon,"a spacious 4 bhk flat for rent is available in sector 81 gurgaon in bestech signature tower, gurgaon. property has attached 6 bathrooms & more than 3 balconies with 4 rooms set in 4200 sq.ft. carpet area. this flat is constructed on 4200 sq.ft. area. an independent servant room is available in this property. this flat lies on the 12th floor of a 30 storey building. well maintained 1-5 years property. semi-furnished flat with 1 curtains, 1 modular kitchen, 1 exhaust fan, 1 chimney, 6 fan, 16 light, 4 wardrobe and 5 geyser. ready to occupy from sun, 14 may 2023, this property is ideal for family on any agreement type with a notice of 1 month for a duration of 11 months. we are demanding  70,000 for this unmatched property. refundable security deposit of  140000 to be paid for finalising the option.",residential apartment,Semifurnished,North-East,1-5 Year Old Property,high rise,4.0,bestech signature tower,4.0,high rise,28.38669,76.94846,4.0,sector 81 gurgaon,bestech signature tower,bestech signature tower,,0.0,0.0,1.0,0.0,0.0,8.0,47,8
a70912802,70912802,gurgaon,70000.0,48.0,1430.0,14.0,3 bhk flat in dlf phase 5,for rent 3 bhk fully renovated furnished in dlf wellington estate dlf phase 5 gurgaon,residential apartment,Furnished,East,5-10 Year Old Property,high rise,3.0,dlf wellington estate,2.0,low rise,28.44673,77.09355,3.0,dlf phase 5,dlf wellington estate,dlf wellington estate,,3.0,3.0,3.0,3.0,2.0,0.0,55,15
