PROP_ID,SPID,CITY,PRICE,PRICE_SQFT,AREA,TOTAL_LANDMARK_COUNT,PROP_HEADING,DESCRIPTION,PROPERTY_TYPE,FURNISH,FACING,AGE,TOTAL_FLOOR,BEDROOM_NUM,PROP_NAME,BALCONY_NUM,FLOOR_NUM,LATITUDE,LONGITUDE,BHK_BED,LOCALITY_NAME,BUILDING_NAME,SOCIETY_NAME,ADDRESS,TRANSPORATION,ACCOMODATION,LEISURE,EDUCATION,HEALTH,OTHER,AMENITIES_SCORE,FEATURES_SCORE
h70251910,70251910,gurgaon,12000000.0,6417.0,1870.0,10.0,3 bhk flat in sector 37d gurgaon,"situated in sector 37d gurgaon, bptp park generations is a well planned society that offers a pleasant living experience to its residents. this 3 bhk flat in gurgaon is your opportunity to be a part of this community. containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1870 sq.ft. this flat is situated on the 9th floor of this 19 floors tall residential building. this is a ready to move project and the property is 1-5 years old.",residential apartment,Unfurnished,North-East,1-5 Year Old Property,high rise,3.0,bptp park generations,4.0,mid rise,28.444091,76.967096,3.0,sector 37d gurgaon,bptp park generations,bptp park generations,a 901,2.0,1.0,2.0,2.0,1.0,2.0,55,15
f70951728,70951728,gurgaon,12000000.0,6417.0,1870.0,10.0,3 bhk flat in sector 83 gurgaon,"3bhk with study flat available for sale in a well maintained society located at a very prime location. easy accessibilty from dwarka expressway and nh-8. spacious flat having all amenities like club, security etc.",residential apartment,Semifurnished,North-East,5-10 Year Old Property,mid rise,3.0,vatika lifestyle homes,1.0,low rise,28.39661,76.97283,3.0,sector 83 gurgaon,vatika lifestyle homes,vatika lifestyle homes,,1.0,2.0,3.0,2.0,1.0,1.0,16,15
k70739052,70739052,gurgaon,12000000.0,6857.0,1750.0,13.0,3 bhk flat in sector 84 gurgaon,"looking for a 3 bhk property for sale in gurgaon? buy this 3 bhk flat in ss the coralwood that is situated in sector 84 gurgaon. the flat occupies a super built up area of 1750 sq.ft. that consists of 3 bedrooms, 3 bathrooms and 2 balconies. this flat lies on the 6th level of a 21 storey building. this is a ready to move project and the property is 5-10 years old.",residential apartment,Semifurnished,North-East,5-10 Year Old Property,high rise,3.0,ss the coralwood,2.0,mid rise,28.4081658,76.9628658,3.0,sector 84 gurgaon,ss the coralwood,ss the coralwood,,2.0,2.0,4.0,2.0,1.0,2.0,116,58
a68653482,68653482,gurgaon,12000000.0,5542.0,2165.0,10.0,3 bhk flat in sector 109 gurgaon,"available for sale in .............. a .... bhk apartment with .... . well ventillted unit with ample sunlight in all bedroom and drawing room. society has 100% power back up with all amenities like swimming pool , club house , gymnasium etc with 3 tier security. clean and clear documents . loan from any private or government bank is available. please call for more details.",residential apartment,Unfurnished,not available,1-5 Year Old Property,high rise,3.0,brisk lumbini terrace homes,4.0,low rise,28.51337,77.007362,3.0,sector 109 gurgaon,brisk lumbini terrace homes,brisk lumbini terrace homes,,0.0,0.0,1.0,0.0,4.0,1.0,69,47
x70464738,70464738,gurgaon,12000000.0,8250.0,1450.0,12.0,3 bhk flat in sector 83 gurgaon,on 8 lane dwarka expressway. rera registered. 3 sides open balcony. floor to ceiling windows. near to golf course,residential apartment,Furnished,East,Under Construction,high rise,3.0,ss cendana residences,3.0,mid rise,28.399607541756,76.975735510083,3.0,sector 83 gurgaon,ss cendana residences,ss cendana residences,,2.0,2.0,3.0,2.0,1.0,2.0,141,63
a70145264,70145264,gurgaon,12000000.0,7619.0,1575.0,6.0,3 bhk flat in sector 82 gurgaon,"looking for a 3 bhk property for sale in gurgaon? buy this 3 bhk flat in vatika iris floors that is situated in sector 82 gurgaon. this property faces the north-east direction. the floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. all in all, the flat is spread over a built up area of 1575 sq.ft. this flat lies on the 1st level of a 3 storey building. being a ready to move project, you can expect immediate possession of this 1-5 years old property. the flat comes well built with vitrified flooring options. vatika iris floors is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, visitor parking and shopping centre. the project provides access to clean water through municipal corporation supply.",residential apartment,Semifurnished,North-East,1-5 Year Old Property,low rise,3.0,vatika iris floors,3.0,low rise,28.390321,76.962064,3.0,sector 82 gurgaon,vatika iris floors,vatika iris floors,first floor,1.0,0.0,1.0,2.0,1.0,1.0,106,54
z70336580,70336580,gurgaon,12000000.0,6916.0,1735.0,10.0,3 bhk flat in sector 83 gurgaon,"looking for a 3 bhk property for sale in gurgaon? buy this 3 bhk flat in vatika gurgaon 21 that is situated in sector 83 gurgaon. containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1735 sq.ft. the property is located on the 5th floor of a 18 floors tall building. this is a ready to move project and the property is 1-5 years old.",residential apartment,Semifurnished,North-East,1-5 Year Old Property,high rise,3.0,vatika gurgaon 21,4.0,mid rise,28.39661,76.97283,3.0,sector 83 gurgaon,vatika gurgaon 21,vatika gurgaon 21,,3.0,0.0,1.0,2.0,1.0,3.0,55,15
e70511854,70511854,gurgaon,12000000.0,13953.0,1295.0,12.0,2 bhk flat in sector 67a gurgaon,"this lovely 2 bhk apartment/flat in sector 67a gurgaon is available for sale in one of gurgaon's most popular projects, ireo the corridors. this residential flat is north-east-facing direction. constructed on a super built up area of 1295 sq.ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. this flat is situated on the 5th floor of this 19 floors tall residential building. this is a ready to move project and the property is 1-5 years old. the beautifully designed marble flooring enhances the beauty of the flat. the society complex is in the close vicinity of close to metro station, close to hospital, close to railway station and close to airport, making it an ideal home for a relaxed lifestyle. many of the modern amenities being offered, like swimming pool, water softening plant, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, shopping centre and security personnel, will provide a pleasant living experience for you. the housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.",residential apartment,Semifurnished,North-East,1-5 Year Old Property,high rise,2.0,ireo the corridors,2.0,mid rise,28.386101,77.070028,2.0,sector 67a gurgaon,ireo the corridors,ireo the corridors,,2.0,3.0,3.0,2.0,0.0,2.0,141,63
t69706156,69706156,gurgaon,12000000.0,6176.0,1943.0,6.0,3 bhk flat in sector 107 gurgaon,this is 3 bhk well furnished luxury apartment,residential apartment,Unfurnished,not available,1-5 Year Old Property,high rise,3.0,m3m woodshire,3.0,mid rise,28.50279,76.964006,3.0,sector 107 gurgaon,m3m woodshire,m3m woodshire,,1.0,0.0,1.0,0.0,1.0,3.0,28,15
v59685898,59685898,gurgaon,12000000.0,4660.0,2575.0,10.0,4 bhk flat in sector 90 gurgaon,"4bhk+study+servant room available for sale in vardhman flora in sector 90 with swimming pool, garden park, club, kids play area at very prime location surrounded by dlf township.",residential apartment,Unfurnished,North,0-1 Year Old Property,high rise,4.0,shree vardhman flora,3.0,low rise,28.40845,76.931977,4.0,sector 90 gurgaon,shree vardhman flora,shree vardhman flora,,2.0,2.0,1.0,2.0,1.0,2.0,106,54
